no;kd_fc;kd_mu;kd_ta;id_desa;no_lahan;status_lahan;kd_petani;noGPS;thn_tanam;id_lahan;id_pohon;luas_lahan;luas_tanam;tutup_lahan;jml_usulan;kd_rule;acc;jml_realisasi;id_pohon2;wkt_tanam;acc2;endmon1;endmon2;endmon3;endmon4;endmon5;endmon6;endmon7;accmon1;accmon2;accmon3;accmon4;accmon5;accmon6;accmon7;stok;kd_lahan;telat1;telat2;telat3;telat4;telat5;telat6;telat7;no_dok;elevasi;koordinat;stok_order;stok_sisa;stok_cek;lat;lng;jml_persetujuan;mon_fc;lahan_no_geko;deleted_at
44952;3,70E+11;36;1,20E+11;490101;630;Umum;1;0;2023;6;65;5000;5000;0% s/d 25%;250;0;1;250;65;07/10/2023;1;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;0;0;0;0;0;250;11_0000000630;0;0;0;0;0;0;0;1/T4T-B/X/2023;0;S6 23.5733 E107 10.869;250;0;0;0;0;250;0;\N;\N
44953;3,70E+11;36;1,20E+11;490101;630;Umum;1;0;2023;6;2;5000;5000;0% s/d 25%;50;0;1;50;2;07/10/2023;1;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;0;0;0;0;0;50;11_0000000630;0;0;0;0;0;0;0;1/T4T-B/X/2023;0;S6 23.5733 E107 10.869;50;0;0;0;0;50;0;\N;\N
44954;3,70E+11;36;1,20E+11;490101;630;Umum;1;0;2023;6;3;5000;5000;0% s/d 25%;50;0;1;50;3;07/10/2023;1;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;0;0;0;0;0;50;11_0000000630;0;0;0;0;0;0;0;1/T4T-B/X/2023;0;S6 23.5733 E107 10.869;50;0;0;0;0;50;0;\N;\N
44955;3,70E+11;36;1,20E+11;490101;630;Umum;1;0;2023;6;4;5000;5000;0% s/d 25%;50;0;1;50;4;07/10/2023;1;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;0;0;0;0;0;50;11_0000000630;0;0;0;0;0;0;0;1/T4T-B/X/2023;0;S6 23.5733 E107 10.869;50;0;0;0;0;50;0;\N;\N
44956;3,70E+11;36;1,20E+11;490101;630;Umum;1;0;2023;6;34;5000;5000;0% s/d 25%;50;0;1;50;34;07/10/2023;1;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;0;0;0;0;0;50;11_0000000630;0;0;0;0;0;0;0;1/T4T-B/X/2023;0;S6 23.5733 E107 10.869;50;0;0;0;0;50;0;\N;\N
44957;3,70E+11;36;1,20E+11;490101;630;Umum;1;0;2023;6;24;5000;5000;0% s/d 25%;50;0;1;50;24;07/10/2023;1;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;0;0;0;0;0;50;11_0000000630;0;0;0;0;0;0;0;1/T4T-B/X/2023;0;S6 23.5733 E107 10.869;50;0;0;0;0;50;0;\N;\N
44958;1,20E+11;12;1,30E+11;102206;738;Umum;1;0;2023;6;112;5250;5250;0% s/d 25%;24;0;1;24;112;08/09/2023;1;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;0;0;0;0;0;24;11_0000000738;0;0;0;0;0;0;0;033/T4T-C/IX/2023;0;S7 45.66167 E110 29.7183;24;0;0;0;0;24;0;\N;\N
44959;1,20E+11;12;1,30E+11;102206;738;Umum;1;0;2023;6;24;5250;5250;0% s/d 25%;30;0;1;30;24;08/09/2023;1;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;0;0;0;0;0;30;11_0000000738;0;0;0;0;0;0;0;033/T4T-C/IX/2023;0;S7 45.66167 E110 29.7183;30;0;0;0;0;30;0;\N;\N
44960;1,20E+11;12;1,30E+11;102206;738;Umum;1;0;2023;6;62;5250;5250;0% s/d 25%;28;0;1;28;62;08/09/2023;1;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;0;0;0;0;0;28;11_0000000738;0;0;0;0;0;0;0;033/T4T-C/IX/2023;0;S7 45.66167 E110 29.7183;28;0;0;0;0;28;0;\N;\N
44961;1,20E+11;12;1,30E+11;102206;738;Umum;1;0;2023;6;39;5250;5250;0% s/d 25%;1;0;1;1;39;08/09/2023;1;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0000-00-00;0;0;0;0;0;0;0;1;11_0000000738;0;0;0;0;0;0;0;033/T4T-C/IX/2023;0;S7 45.66167 E110 29.7183;1;0;0;0;0;1;0;\N;\N
